frame_index,timestamp_ms,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_shoulder_angle,right_shoulder_angle,trunk_tilt_proxy,left_wrist_speed,right_wrist_speed,left_ankle_speed,right_ankle_speed,pelvis_speed,shoulder_center_speed,left_elbow_angular_velocity,right_elbow_angular_velocity,left_knee_angular_velocity,right_knee_angular_velocity,left_hip_angular_velocity,right_hip_angular_velocity,motion_energy_proxy,pose_detected,visibility_mean,missing_ratio
1735,3570309453,75.966993,112.21804,,,,,26.68658,42.606122,0.40162389,0.19164423,0.57935179,0.33627383,0.12241022,0.16207572,0.55591191,50.531476,-123.97983,,,,,0.96966476,1,0.7892229,0.24242424
1736,3570309515,94.951991,93.78843,,,,,18.218852,26.477115,1.0320356,3.1659352,1.3138599,0.061781808,0.34681383,0.016207544,2.5874173,306.20966,-297.25185,,,,,3.5803517,1,0.78661998,0.24242424
1737,3570309578,95.258664,117.97936,,,,,25.382717,24.604943,0.73660501,0.87917886,3.2082671,0.047067517,0.16032338,0.058863855,0.29971859,4.8678216,383.98298,,,,,3.2281438,1,0.78774064,0.24242424
1738,3570309640,100.60472,116.95769,,,,,25.220753,28.161901,0.4161107,4.9747942,4.5800436,0.36306407,0.15421481,0.16953851,2.9441867,86.226677,-16.478479,,,,,7.5943062,1,0.78566834,0.24242424
1739,3570309703,,,,,,,,,,,,,,,,,,,,,,,0,,1
1740,3570309781,,,,,,,,,,,,,,,,,,,,,,,0,,1
1741,3570309859,,,,,,,,,,,,,,,,,,,,,,,0,,1
1742,3570309921,,,,,,,,,,,,,,,,,,,,,,,0,,1
1743,3570309984,161.54997,152.27323,,,164.12659,166.67684,22.790014,27.871147,0.5271363,2.0285666,2.1212767,0.81110052,0.34637366,0.16228168,0.34299115,177.16643,102.66144,,,,,3.8534013,1,0.78774045,0.18181818
1744,3570310046,151.13864,169.70118,,,171.06951,165.77429,22.80805,20.186634,0.57674065,9.8988436,9.765169,0.31970266,0.16571567,0.29773968,0.85239172,-167.92471,281.09607,,,111.98266,-14.557243,15.288458,1,0.78691378,0.18181818
1745,3570310109,141.92774,157.67836,,,176.20247,170.7349,9.0465076,20.285472,0.48333115,3.8800986,3.825476,0.12487618,0.11099717,0.076931184,0.20289225,-146.20477,-190.83852,,,81.475466,78.739834,5.9740488,1,0.78312762,0.18181818
